地域名称,人数
東京都,11972869
大阪府,4311272
千葉県,3860821
静岡県,3858093
兵庫県,3677039
神奈川県,3602413
愛知県,3252027
北海道,2999679
長野県,2823598
福岡県,2597155
京都府,2400782
栃木県,2115740
埼玉県,2024442
新潟県,1846321
茨城県,1770219
岐阜県,1700892
三重県,1603002
広島県,1564032
群馬県,1563486
沖縄県,1486939
福島県,1408194
熊本県,1353373
宮城県,1332678
岡山県,1232641
宮崎県,1106574
大分県,1070424
滋賀県,986914
鹿児島県,920509
奈良県,881894
山口県,832804
長崎県,809289
愛媛県,782932
山梨県,759918
石川県,730800
岩手県,709392
山形県,699383
佐賀県,697583
青森県,674707
和歌山県,611777
香川県,589501
島根県,581707
秋田県,563652
徳島県,483948
富山県,477550
高知県,473578
福井県,471637
鳥取県,324664
